Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,16.350000381469727,16.600000381469727,16.270000457763672,16.59000015258789,16.59000015258789,25594800
2020-06-09,16.43000030517578,16.56999969482422,16.360000610351562,16.420000076293945,16.420000076293945,18582700
2020-06-10,16.700000762939453,16.959999084472656,16.360000610351562,16.959999084472656,16.959999084472656,40557000
2020-06-11,16.75,16.8799991607666,16.280000686645508,16.440000534057617,16.440000534057617,41000100
2020-06-12,16.440000534057617,16.549999237060547,16.209999084472656,16.280000686645508,16.280000686645508,31212000
2020-06-15,15.869999885559082,16.280000686645508,15.789999961853027,16.229999542236328,16.229999542236328,28946300
2020-06-16,16.200000762939453,16.3799991607666,16.18000030517578,16.260000228881836,16.260000228881836,23368000
2020-06-17,16.34000015258789,16.40999984741211,16.25,16.329999923706055,16.329999923706055,13474000
2020-06-18,16.200000762939453,16.260000228881836,16.1200008392334,16.209999084472656,16.209999084472656,15444900
2020-06-19,16.43000030517578,16.600000381469727,16.360000610351562,16.489999771118164,16.489999771118164,26968800
2020-06-22,16.719999313354492,16.809999465942383,16.459999084472656,16.5,16.5,26625400
2020-06-23,16.729999542236328,16.770000457763672,16.639999389648438,16.760000228881836,16.760000228881836,25742500
2020-06-24,16.360000610351562,16.6200008392334,16.239999771118164,16.280000686645508,16.280000686645508,25976500
2020-06-25,16.5,16.610000610351562,16.40999984741211,16.59000015258789,16.59000015258789,16679500
2020-06-26,16.489999771118164,16.739999771118164,16.290000915527344,16.6299991607666,16.6299991607666,26029200
2020-06-29,16.579999923706055,16.65999984741211,16.489999771118164,16.649999618530273,16.649999618530273,13861900
2020-06-30,16.649999618530273,17.010000228881836,16.649999618530273,17.010000228881836,17.010000228881836,37872900
2020-07-01,17.010000228881836,17.030000686645508,16.610000610351562,16.81999969482422,16.81999969482422,36577100
2020-07-02,16.700000762939453,16.889999389648438,16.670000076293945,16.709999084472656,16.709999084472656,18564100
2020-07-06,17.079999923706055,17.15999984741211,16.950000762939453,17.049999237060547,17.049999237060547,24977600
2020-07-07,16.93000030517578,17.1200008392334,16.920000076293945,17.010000228881836,17.010000228881836,25945200
2020-07-08,17.329999923706055,17.489999771118164,17.299999237060547,17.489999771118164,17.489999771118164,37782400
2020-07-09,17.700000762939453,17.739999771118164,17.219999313354492,17.3799991607666,17.3799991607666,40376200
2020-07-10,17.489999771118164,17.530000686645508,17.299999237060547,17.43000030517578,17.43000030517578,20454500
2020-07-13,17.989999771118164,18.079999923706055,17.709999084472656,17.729999542236328,17.729999542236328,49876300
2020-07-14,17.709999084472656,18.0,17.670000076293945,17.969999313354492,17.969999313354492,35495200
2020-07-15,17.889999389648438,18.170000076293945,17.829999923706055,18.170000076293945,18.170000076293945,36148500
2020-07-16,17.979999542236328,18.059999465942383,17.780000686645508,17.780000686645508,17.780000686645508,29567000
2020-07-17,17.979999542236328,18.06999969482422,17.889999389648438,18.010000228881836,18.010000228881836,34200100
2020-07-20,18.360000610351562,18.56999969482422,18.229999542236328,18.530000686645508,18.530000686645508,41717100
2020-07-21,19.520000457763672,19.8799991607666,19.420000076293945,19.670000076293945,19.670000076293945,76947300
2020-07-22,20.649999618530273,21.450000762939453,20.510000228881836,21.440000534057617,21.440000534057617,125780300
2020-07-23,21.100000381469727,21.510000228881836,20.719999313354492,21.030000686645508,21.030000686645508,95257100
2020-07-24,21.34000015258789,21.360000610351562,20.93000030517578,21.209999084472656,21.209999084472656,49831700
2020-07-27,22.559999465942383,22.850000381469727,22.420000076293945,22.829999923706055,22.829999923706055,94894600
2020-07-28,22.309999465942383,22.969999313354492,22.06999969482422,22.770000457763672,22.770000457763672,94721800
2020-07-29,22.68000030517578,23.25,21.709999084472656,22.56999969482422,22.56999969482422,83963400
2020-07-30,21.700000762939453,22.010000228881836,21.399999618530273,21.760000228881836,21.760000228881836,60066500
2020-07-31,22.209999084472656,22.670000076293945,22.110000610351562,22.649999618530273,22.649999618530273,49164100
2020-08-03,22.59000015258789,22.780000686645508,22.3799991607666,22.739999771118164,22.739999771118164,40947500
2020-08-04,22.700000762939453,24.25,22.6200008392334,24.25,24.25,75735400
2020-08-05,25.1200008392334,25.280000686645508,24.610000610351562,25.049999237060547,25.049999237060547,92854800
2020-08-06,26.309999465942383,26.899999618530273,25.8799991607666,26.8799991607666,26.8799991607666,108854600
2020-08-07,26.280000686645508,26.3799991607666,25.479999542236328,26.190000534057617,26.190000534057617,123646500
2020-08-10,26.59000015258789,27.389999389648438,26.56999969482422,27.0,27.0,81732500
2020-08-11,25.229999542236328,25.520000457763672,23.059999465942383,23.329999923706055,23.329999923706055,165630300
2020-08-12,24.149999618530273,24.420000076293945,23.389999389648438,23.420000076293945,23.420000076293945,80902900
2020-08-13,24.649999618530273,25.809999465942383,24.56999969482422,25.450000762939453,25.450000762939453,95485000
2020-08-14,25.110000610351562,25.229999542236328,23.979999542236328,24.579999923706055,24.579999923706055,73263600
2020-08-17,25.479999542236328,25.670000076293945,25.239999771118164,25.6200008392334,25.6200008392334,49360400
2020-08-18,26.420000076293945,26.489999771118164,25.229999542236328,25.8799991607666,25.8799991607666,58275800
2020-08-19,25.940000534057617,26.049999237060547,24.700000762939453,24.8799991607666,24.8799991607666,72926400
2020-08-20,24.93000030517578,25.639999389648438,24.8799991607666,25.610000610351562,25.610000610351562,43984000
2020-08-21,24.8700008392334,25.020000457763672,24.420000076293945,24.899999618530273,24.899999618530273,55295500
2020-08-24,25.079999923706055,25.100000381469727,24.520000457763672,24.600000381469727,24.600000381469727,37090400
2020-08-25,24.729999542236328,24.770000457763672,24.260000228881836,24.760000228881836,24.760000228881836,34800100
2020-08-26,24.6299991607666,25.56999969482422,24.610000610351562,25.56999969482422,25.56999969482422,55145500
2020-08-27,25.889999389648438,25.899999618530273,24.68000030517578,25.15999984741211,25.15999984741211,63820700
2020-08-28,25.610000610351562,25.809999465942383,25.469999313354492,25.610000610351562,25.610000610351562,35855800
2020-08-31,26.040000915527344,26.420000076293945,25.950000762939453,26.229999542236328,26.229999542236328,36721100
2020-09-01,26.729999542236328,26.75,25.670000076293945,26.139999389648438,26.139999389648438,49242700
2020-09-02,25.719999313354492,25.729999542236328,25.200000762939453,25.549999237060547,25.549999237060547,43041000
2020-09-03,25.389999389648438,25.510000228881836,24.639999389648438,24.739999771118164,24.739999771118164,64081600
2020-09-04,24.850000381469727,25.139999389648438,24.469999313354492,25.059999465942383,25.059999465942383,48439300
2020-09-08,24.440000534057617,25.09000015258789,24.049999237060547,24.75,24.75,44508500
2020-09-09,24.979999542236328,25.25,24.8799991607666,25.18000030517578,25.18000030517578,28197200
2020-09-10,25.530000686645508,25.56999969482422,24.84000015258789,24.860000610351562,24.860000610351562,47518600
2020-09-11,25.030000686645508,25.170000076293945,24.729999542236328,24.899999618530273,24.899999618530273,27839300
2020-09-14,25.1299991607666,25.420000076293945,25.1299991607666,25.290000915527344,25.290000915527344,26044300
2020-09-15,25.440000534057617,25.5,25.139999389648438,25.229999542236328,25.229999542236328,26323700
2020-09-16,25.459999084472656,25.540000915527344,25.0,25.229999542236328,25.229999542236328,36289000
2020-09-17,24.649999618530273,25.239999771118164,24.510000228881836,25.229999542236328,25.229999542236328,28618600
2020-09-18,24.979999542236328,25.260000228881836,24.920000076293945,24.93000030517578,24.93000030517578,23915500
2020-09-21,24.200000762939453,24.34000015258789,22.059999465942383,23.030000686645508,23.030000686645508,99141400
2020-09-22,22.809999465942383,22.979999542236328,22.459999084472656,22.790000915527344,22.790000915527344,32002300
2020-09-23,21.93000030517578,22.06999969482422,21.020000457763672,21.170000076293945,21.170000076293945,98246400
2020-09-24,20.579999923706055,21.729999542236328,20.450000762939453,21.559999465942383,21.559999465942383,72093000
2020-09-25,21.15999984741211,21.540000915527344,21.110000610351562,21.299999237060547,21.299999237060547,34913100
2020-09-28,21.729999542236328,22.079999923706055,21.5,22.020000457763672,22.020000457763672,31756800
2020-09-29,22.239999771118164,22.709999084472656,22.170000076293945,22.5,22.5,33327200
2020-09-30,22.270000457763672,22.3799991607666,21.530000686645508,21.639999389648438,21.639999389648438,43545600
2020-10-01,22.010000228881836,22.5,21.760000228881836,22.09000015258789,22.09000015258789,35290700
2020-10-02,22.25,22.520000457763672,22.040000915527344,22.1299991607666,22.1299991607666,25735100
2020-10-05,22.31999969482422,22.809999465942383,22.299999237060547,22.6200008392334,22.6200008392334,22288100
2020-10-06,22.6200008392334,22.729999542236328,21.6200008392334,21.729999542236328,21.729999542236328,31902000
2020-10-07,21.979999542236328,22.31999969482422,21.889999389648438,22.09000015258789,22.09000015258789,18967300
2020-10-08,22.389999389648438,22.530000686645508,22.010000228881836,22.18000030517578,22.18000030517578,20342200
2020-10-09,22.799999237060547,23.420000076293945,22.770000457763672,23.40999984741211,23.40999984741211,39187400
2020-10-12,23.34000015258789,23.5,23.059999465942383,23.329999923706055,23.329999923706055,25221700
2020-10-13,22.700000762939453,22.700000762939453,22.270000457763672,22.489999771118164,22.489999771118164,42797000
2020-10-14,22.799999237060547,22.920000076293945,22.469999313354492,22.540000915527344,22.540000915527344,26426400
2020-10-15,22.049999237060547,22.6200008392334,22.0,22.59000015258789,22.59000015258789,24000900
2020-10-16,22.760000228881836,22.809999465942383,22.420000076293945,22.420000076293945,22.420000076293945,19144100
2020-10-19,23.040000915527344,23.06999969482422,22.520000457763672,22.579999923706055,22.579999923706055,25444600
2020-10-20,22.860000610351562,23.190000534057617,22.809999465942383,23.020000457763672,23.020000457763672,26084700
2020-10-21,23.309999465942383,23.530000686645508,23.170000076293945,23.290000915527344,23.290000915527344,23803600
2020-10-22,23.049999237060547,23.09000015258789,22.670000076293945,22.959999084472656,22.959999084472656,19961800
2020-10-23,23.020000457763672,23.030000686645508,22.700000762939453,22.940000534057617,22.940000534057617,18614000
2020-10-26,22.65999984741211,22.809999465942383,22.520000457763672,22.610000610351562,22.610000610351562,17609200
2020-10-27,22.610000610351562,22.799999237060547,22.510000228881836,22.729999542236328,22.729999542236328,15354700
2020-10-28,21.81999969482422,21.8799991607666,21.420000076293945,21.780000686645508,21.780000686645508,38142200
2020-10-29,21.290000915527344,21.940000534057617,21.270000457763672,21.709999084472656,21.709999084472656,23123500
2020-10-30,22.040000915527344,22.1200008392334,21.780000686645508,21.989999771118164,21.989999771118164,22088900
2020-11-02,22.270000457763672,22.440000534057617,22.09000015258789,22.40999984741211,22.40999984741211,18599000
2020-11-03,22.6299991607666,22.649999618530273,22.3799991607666,22.440000534057617,22.440000534057617,18196000
2020-11-04,22.350000381469727,22.5,22.100000381469727,22.239999771118164,22.239999771118164,31130600
2020-11-05,23.020000457763672,23.65999984741211,23.0,23.610000610351562,23.610000610351562,57395800
2020-11-06,23.920000076293945,23.959999084472656,23.479999542236328,23.790000915527344,23.790000915527344,32804500
2020-11-09,22.780000686645508,22.790000915527344,21.920000076293945,22.5,22.5,70212000
2020-11-10,22.6200008392334,22.780000686645508,22.399999618530273,22.43000030517578,22.43000030517578,25237900
2020-11-11,22.229999542236328,22.579999923706055,22.200000762939453,22.520000457763672,22.520000457763672,17925600
2020-11-12,22.540000915527344,22.700000762939453,22.5,22.549999237060547,22.549999237060547,14122400
